entity_id,quality,country,country_code,place,description
us-ofac.270158de784d655e4b4ca731b8ee9e38a18761bd,strong,,,Egypt,
us-ofac.d72d8b235c8a76b571b74f0efbea53acc352d33d,strong,,,Tunisia,
us-ofac.9f29afeeee5165420842791ee6ce4526a8ddb1e9,strong,,,Kuwait,
us-ofac.591c42938107bb46258fb1bc1fa435374ac3edca,strong,,,"Beasain, Guipuzcoa Province, Spain",
us-ofac.c2e6109e93bf8bbe7ad9d222308cace5fda8ccaa,strong,,,"Eibar Guipuzcoa Province, Spain",
us-ofac.7d5b43f7d3a7315f1b33c90a53ac62021de2fef1,strong,,,"Bilbao Vizcaya Province, Spain",
us-ofac.d26a494344e7b3cfd60f72672431403800aa0299,strong,,,"Baracaldo Vizcaya Province, Spain",
us-ofac.533552ba1153356e7d41f4f48c4ca32505c466be,strong,,,"Bilbao Vizcaya Province, Spain",
us-ofac.544c7ea57fbfb8f2f32cb6396a1e8fe2f7142818,strong,,,"Bilbao Vizcaya Province, Spain",
us-ofac.4a41751af49ae7e7440fe6ad8187e146365d44dc,strong,,,"Getxo Vizcaya Province, Spain",
us-ofac.bf4701048c729701de162c66955e07b9eb5c4d76,strong,,,Rio de Janeiro,
us-ofac.66436cf4a3fd40be0b9f0c8a769fe3c550db8c2c,strong,,,Jalisco Mexico,
us-ofac.fd0d5c926d95ca0f3d6aa0828858718cf51cbc77,strong,,,Pakistan,
us-ofac.09d1a9cbbf7c8ae809e0a10414994ec6648cd6f7,strong,,,Bahamas,
us-ofac.9b29d63e43144b8c20ebaaa37566916a38f59830,strong,,,Israel,
us-ofac.b3bd0aaa527ad8c155bf37f6895ec7dd3f3f0acd,strong,,,"Quintana Roo, Mexico",
us-ofac.94721c403e10e2e7d9630867795b5ab71438c97a,strong,,,"Sinaloa, Mexico",
us-ofac.94721c403e10e2e7d9630867795b5ab71438c97a,weak,,,"Costa Rica, Sinaloa, Mexico",
us-ofac.94721c403e10e2e7d9630867795b5ab71438c97a,weak,,,"El Salado, Sinaloa, Mexico",
us-ofac.94721c403e10e2e7d9630867795b5ab71438c97a,weak,,,"Guadalajara, Jalisco, Mexico",
us-ofac.3f6744c140769cd04ecc96056d18725c8dcb0c1c,strong,,,"Llocos Sur Northern Luzon, Philippines",
us-ofac.dc1fb6f581a8e64fffca6a5605b183f92faa8adf,strong,,,"Tunis, Tunisia",
us-ofac.eb967f9267135dab6c6853a1548cf29754c76a78,strong,,,"Tunis, Tunisia",
us-ofac.a5581643c29b79a3858ea52670e9706aad0d0a79,strong,,,"Safi, Morocco",
us-ofac.714e2a7b69007a5cc9eaf17c26dc31448b007aee,weak,,,"Al-Mohamedia, Tunisia",
us-ofac.4deb1f764f0798c0fb33eeed258fecc37f9b4476,strong,,,"Tunis, Tunisia",
us-ofac.35716fc3601dff17b4ea9d02ab971c25bcea59db,strong,,,"Gharbia, Egypt",
us-ofac.f5c487f295adcb8a36b3e076eeaad55b5c4a418c,weak,,,"Ghar el-dimaa, Tunisia",
us-ofac.f5c487f295adcb8a36b3e076eeaad55b5c4a418c,strong,,,"Ghardimaou, Tunisia",
us-ofac.ea422f56353766f0594d6c48b979da64f2700306,strong,,,"Bistra, Algeria",
us-ofac.792a234789f3e48be11fda69579c8a4e8ea5fabc,strong,,,"Baghdad, Iraq",
us-ofac.4a1692b85e4956c3a6b0d9d86a6623a66476a359,strong,,,"Tunis, Tunisia",
us-ofac.923e0581354545ed4151be1857917729845c8b33,strong,,,"Tunis, Tunisia",
us-ofac.b63b67e3bed2a9b4f7aba99ba807371990ac398d,strong,,,"Al-Madinah, Saudi Arabia",
us-ofac.8b6b4b95f645e12d124a941e4399a78a6087f6e3,strong,,,"Haselunne, Lower Saxony, Germany",
us-ofac.0d6854cf38ef86e7f96f29f8e52e2c6b8ff415e4,strong,,,"Hadramawt, Yemen",
us-ofac.0d6854cf38ef86e7f96f29f8e52e2c6b8ff415e4,weak,,,Khartoum Sudan,
us-ofac.375f4e57273949c936dfc7d1e199f224e4da7dd1,strong,,,"Marrakesh, Morocco",
us-ofac.55484a25efd0679d5f085db89d79670a1db09c84,strong,,,"Essaouria, Morocco",
us-ofac.9df524f00e97569518593e99678624b44e5e0ef9,strong,,,"El Aguila, Valle, Colombia",
us-ofac.08a15fc6e430e5699f79dc9fe7f81006b49d1465,strong,,,"Trujillo, Valle, Colombia",
us-ofac.6b36c2e986e6dc5639520fe21d14a0379fbcffa4,strong,,,"Cali, Valle, Colombia",
us-ofac.45ed9b8e76465cc061ba527dd909d94a5548cfc8,strong,,,"Trujillo, Valle, Colombia",
us-ofac.47050e769159a613ea0568efbe3345fbc5cfb477,strong,,,"Riofrio, Valle, Colombia",
us-ofac.52256b8289d2cedf8bd1a90849bd99daee35963a,strong,,,"Basauri (Vizcaya Province), Spain",
us-ofac.5924aa748afb132250857c36bac0f10da3ffe581,strong,,,"Plencia (Vizcaya Province), Spain",
us-ofac.d8424408f361287b233e22a4ecc5bfeb52e63610,strong,,,"Santurce (Vizcaya Province), Spain",
us-ofac.3064e81a8ba5ca0b281d45ff25de10874712c9fc,strong,,,"Bilbao (Vizcaya Province), Spain",
us-ofac.df5999912971e6a6604bd32dcbab5d71381ee35d,strong,,,"Tripoli, Lebanon",
us-ofac.676cc56421385b4e13b2f46f6bf9a1dad998851c,strong,,,"Cianjur, West Java, Indonesia",
us-ofac.a50ab6468ccfeece572c27a4fd27ea99c4384c72,weak,,,"Tirpas-Selong Village, East Lombok, Indonesia",
us-ofac.a50ab6468ccfeece572c27a4fd27ea99c4384c72,strong,,,"Korleko-Lombok Timur, Indonesia",
us-ofac.c106723b55e9ff0c78f09501ffb529393837519b,strong,,,"Konduz Province, Afghanistan",
us-ofac.7a844fe82cbe89996346cb3b9fadac512b83bb87,strong,,,"Cali, Valle, Colombia",
us-ofac.182225ebf81f860c061873d52cd1a54710ed5ad6,strong,,,"Cali, Valle, Colombia",
us-ofac.4d0a0f310a34055116c8847b3b23ee79c13e7348,strong,,,"Tetovo, Macedonia",
us-ofac.a02b9ae8364616f7cd44560318894c51a3de44a7,strong,,,"Kicevo, Macedonia",
us-ofac.d14c490fa4c1e0bd180ef350e40c7ee234960749,strong,,,"Ahatovici, Bosnia-Herzegovina",
us-ofac.67bccda639c5497c5e9c79472bf9d83af8230aa3,strong,,,"Donje Crnjelovo, Bosnia-Herzegovina",
us-ofac.d8218f262d57a3c97490d65cc1ba1d01e3ea7449,strong,,,"Vlasenica, Bosnia-Herzegovina",
us-ofac.32b001672f7680d56aaf7ac8a385d9459ea49fb8,strong,,,"Gornja Koretica, Serbia and Montenegro",
us-ofac.f25599144033187dbbbc02491004548da5091ac7,strong,,,"Prijedor, Bosnia-Herzegovina",
us-ofac.f599b0785a78614d0b173662b88f8caa7e1fd59a,strong,,,"Mallakaster Fier, Albania",
us-ofac.cc04c31bd89554007a14e94ea526963ce7db91e6,strong,,,"Tetovo, Macedonia",
us-ofac.88d29843c5282bed3b785451ed850955a550fe4d,strong,,,"Rogatica, Bosnia-Herzegovina",
us-ofac.3b1dd798787d24a5b3affe5d9cdaf6b116c54a96,strong,,,"Bratunac, Bosnia-Herzegovina",
us-ofac.1f1dd9e010250f83033bb3e09a6006f6df179354,strong,,,"Brestovsko, Bosnia-Herzegovina",
us-ofac.9a10d24f5e3dc2713d18a86bbb0e6619a87297c2,strong,,,"Han Pijesak, Bosnia-Herzegovina",
us-ofac.4c567d7636e66a4355452840f5fef3fb53fd6589,strong,,,"Popovac, Bosnia-Herzegovina",
us-ofac.46eb6030359bde692750b90abbe22eda6282f3a3,strong,,,"Odzak, Bosnia-Herzegovina",
us-ofac.84ca50fb380e18d4012f6601712d9dce2300d663,strong,,,"Rijeka, Bosnia-Herzegovina",
us-ofac.adf8c41dab7733b622f9a94180701d0583d3c684,strong,,,"Drvar, Bosnia-Herzegovina",
us-ofac.ef4a680c5b388026a22057b058a91b4fc3f47e00,strong,,,"Posulje, Bosnia-Herzegovina",
us-ofac.92d79e571cb752c226cafcdb0be0684f7b3318ff,strong,,,"Citluk, Bosnia-Herzegovina",
us-ofac.2dda9669060d63b392e6e615b6f6b3601cecf5e9,strong,,,"Ilince, Serbia and Montenegro",
us-ofac.915183a69e999e7bf463ed60f443e222291336c1,strong,,,"Bratunac, Bosnia-Herzegovina",
us-ofac.0e69e0858308199d56f230925b80e158642c885d,strong,,,"Kalinovik, Bosnia-Herzegovina",
us-ofac.68780acc66695dcd75aebc56e14d9ead4f6a4aba,strong,,,"Cirkin Polje, Bosnia-Herzegovina",
us-ofac.eee2b857cf1f81dbc017a8c5c34edae42fec8ec2,strong,,,"Suva Reka, Serbia and Montenegro",
us-ofac.0ef705f7dceccf73afb83c44462724ea9339bcc0,strong,,,"Travnik, Bosnia-Herzegovina",
us-ofac.70aa3efc4ac777024401b7b9f8a07ad19717e7cc,strong,,,"Prijedor, Bosnia-Herzegovina",
us-ofac.7deb720cbdffba072d3977cd4fb14a976de3c027,strong,,,"Goles, Bosnia-Herzegovina",
us-ofac.36a1d250e850fccccec28797de6e5008bacb0f48,strong,,,"Suva Reka, Serbia and Montenegro",
us-ofac.bbefa7acc82f2e7d9e08e3df8a0e2ded29af1fc3,strong,,,"Vitina, Serbia and Montenegro",
us-ofac.d51c4670dcc54cfe4d7e0211afdab2ddbd1df072,strong,,,"Zvornik, Bosnia-Herzegovina",
us-ofac.cb78209af4721a2648e20f326762ccd4ac086827,strong,,,"Poroj, Macedonia",
us-ofac.83f7a50db6335cfa2de9a14f5d82d313def4ad80,strong,,,"Glodjane, Serbia and Montenegro",
us-ofac.d2f4d9bd7324d052683149ffa59df1f2f3814baa,strong,,,"Tanusevci, Macedonia",
us-ofac.637fe19376ee9dbe5d23feef2e68f9b7080fc1bd,strong,,,"Debar, Macedonia",
us-ofac.c302682211a99336e26b977ed2be8bb63986b477,strong,,,"Lojane, Macedonia",
us-ofac.8a82f1047796039beeb3d7eb36cf31c2f3227287,strong,,,"Mitrovica, Serbia and Montenegro",
us-ofac.1a385f65551be307f824c7298a9c3e6b9c4b126a,strong,,,"Foca, Bosnia-Herzegovina",
us-ofac.eb8927feafbaf208a55353e42f6fb6c0436b00b8,strong,,,"Potprolog, Croatia",
us-ofac.8d51f935579720319722a707eccec7fc694211a6,strong,,,"Bijeljina, Bosnia-Herzegovina",
us-ofac.ea5f7bd7fdba5f04a7f326f9855d326cbd3281fa,strong,,,"Grbavci, Bosnia-Herzegovina",
us-ofac.933693bd73247d8cfd1084746904f1c47c7ef8f2,strong,,,"Mionica, Serbia and Montenegro",
us-ofac.cb17d91ccf33ec3686a57051de5c0eacc0b8c07c,strong,,,"Santici, Bosnia-Herzegovina",
us-ofac.a6cd4492801a871ac735822cd7e555383e08bfe4,strong,,,"Sarajevo, Bosnia-Herzegovina",
us-ofac.637d3f4c30d72c7b16c65bafffdc99c6b5229367,strong,,,"Savnik, Serbia and Montenegro",
us-ofac.637d3f4c30d72c7b16c65bafffdc99c6b5229367,weak,,,"Petnic, Serbia and Montenegro",
us-ofac.1b767e116e495437ae4dfd12e164c6270bc34fc6,strong,,,"Petnica, Serbia and Montenegro",
us-ofac.caa7bf13be780b1f72d0f191d971a1d2c79a3cff,strong,,,"Sarajevo, Bosnia-Herzegovina",
us-ofac.c51e74ed938f799d2ff5634b750e100ede73d474,strong,,,"Orlovci, Bosnia-Herzegovina",
us-ofac.cda8861ec97e9d7b0984001ea552fccf8269b2df,strong,,,"Sarajevo, Bosnia-Herzegovina",
us-ofac.12b561cde831faf484c1ab631e1ef370186400d6,strong,,,"Lamovita, Bosnia-Herzegovina",
us-ofac.ff4827023d1157beeebc3df36a66731962c85fbb,strong,,,"Zabrdje, Bosnia-Herzegovina",
us-ofac.bf0376f2b0f9e392ea1a77712a878cd8935bbca4,strong,,,"Birotici, Bosnia-Herzegovina",
